X_int_1	Y_int_1	Cond.1[mS/m]	Inph.1[ppt]	X_int_2	Y_int_2	Cond.2[mS/m]	Inph.2[ppt]	X_int_3	Y_int_3	Cond.3[mS/m]	Inph.3[ppt]	Num fich	b et p	Base	Profil
397641.2506	5315632.8774	8.08	-0.11	397641.4259	5315632.9628	18.55	-0.21	397641.6371	5315633.0658	23.13	-0.13	2	103	0	98
397640.7995	5315632.6574	10.78	-0.03	397640.9747	5315632.7429	18.04	-0.19	397641.186	5315632.8459	22.79	-0.13	2	103	0	98
397640.3439	5315632.477	13.77	-0.03	397640.5234	5315632.5523	20.5	-0.21	397640.7398	5315632.6432	24.46	-0.1	2	103	0	98
397639.6112	5315632.2577	8.98	-0.07	397639.795	5315632.3229	18.49	-0.21	397640.0164	5315632.4016	23.91	-0.13	2	103	0	98
397638.8824	5315632.0183	10.93	-0.03	397639.0678	5315632.0785	17.73	-0.17	397639.2913	5315632.151	23.04	-0.1	2	103	0	98
397638.3601	5315631.8838	14.23	-0.05	397638.5471	5315631.939	21.42	-0.19	397638.7725	5315632.0054	25.09	-0.09	2	103	0	98
397637.8382	5315631.73	12.25	-0.03	397638.0253	5315631.7851	20.41	-0.21	397638.2507	5315631.8516	24.8	-0.14	2	103	0	98
397637.3169	5315631.5575	11.4	-0.02	397637.5024	5315631.6175	18.29	-0.18	397637.7259	5315631.6898	23.38	-0.11	2	103	0	98
397636.5539	5315631.2691	12.06	-0.03	397636.7377	5315631.334	19.96	-0.19	397636.9593	5315631.4123	24.9	-0.13	2	103	0	98
397635.7903	5315631.0004	11.0	-0.06	397635.9742	5315631.0651	19.91	-0.25	397636.1959	5315631.143	24.85	-0.2	2	103	0	98
397635.2825	5315630.8235	11.91	-0.03	397635.4665	5315630.888	19.69	-0.19	397635.6883	5315630.9656	24.28	-0.13	2	103	0	98
397634.7747	5315630.6457	12.44	-0.05	397634.9588	5315630.7102	20.73	-0.22	397635.1806	5315630.7878	25.9	-0.16	2	103	0	98
397634.2676	5315630.4583	11.75	-0.05	397634.4508	5315630.5252	20.72	-0.25	397634.6715	5315630.6059	25.55	-0.22	2	103	0	98
397633.5484	5315630.1742	12.73	-0.03	397633.7306	5315630.2436	20.2	-0.22	397633.9502	5315630.3273	24.57	-0.16	2	103	0	98
397632.8279	5315629.9077	11.42	-0.03	397633.0109	5315629.9751	19.5	-0.21	397633.2314	5315630.0564	25.22	-0.2	2	103	0	98
397632.3257	5315629.7373	11.37	-0.05	397632.5095	5315629.8026	20.5	-0.24	397632.7309	5315629.8814	26.18	-0.26	2	103	0	98
